"","geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm"
"190",41,"2020-02-23","12:30",0,3,0,0,"0",0,"0","0",0,"Paraná"
"191",42,"2020-02-23","12:30",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"192",43,"2020-02-23","12:30",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"193",53,"2020-02-23","12:30",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"194",23,"2020-02-24","12:25",0,1,0,0,"0",0,"0","0",0,"Ceará"
"195",31,"2020-02-24","12:25",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"196",33,"2020-02-24","12:25",1,7,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"197",35,"2020-02-24","12:25",3,26,0,0,"0",0,"0","0",0,"São Paulo"
"198",41,"2020-02-24","12:25",0,3,0,0,"0",0,"0","0",0,"Paraná"
"199",42,"2020-02-24","12:25",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"200",43,"2020-02-24","12:25",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"201",53,"2020-02-24","12:25",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"202",23,"2020-02-25","13:50",0,1,0,0,"0",0,"0","0",0,"Ceará"
"203",23,"2020-02-25","13:50",0,1,0,0,"0",0,"0","0",0,"Ceará"
"204",31,"2020-02-25","13:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"205",31,"2020-02-25","13:50",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"206",33,"2020-02-25","13:50",0,8,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"207",33,"2020-02-25","13:50",0,8,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"208",35,"2020-02-25","13:50",4,26,0,0,"0",0,"0","0",0,"São Paulo"
"209",35,"2020-02-25","13:50",4,26,0,0,"0",0,"0","0",0,"São Paulo"
"210",41,"2020-02-25","13:50",0,3,0,0,"0",0,"0","0",0,"Paraná"
"211",41,"2020-02-25","13:50",0,3,0,0,"0",0,"0","0",0,"Paraná"
"212",42,"2020-02-25","13:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"213",42,"2020-02-25","13:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"214",43,"2020-02-25","13:50",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"215",43,"2020-02-25","13:50",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"216",53,"2020-02-25","13:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"217",53,"2020-02-25","13:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"218",23,"2020-02-26","11:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"219",25,"2020-02-26","11:30",1,0,0,0,"0",0,"0","0",0,"Paraíba"
"220",26,"2020-02-26","11:30",1,0,0,0,"0",0,"0","0",0,"Pernambuco"
"221",29,"2020-02-26","11:30",0,2,0,0,"0",0,"0","0",0,"Bahia"
"222",31,"2020-02-26","11:30",2,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"223",32,"2020-02-26","11:30",1,0,0,0,"0",0,"0","0",0,"Espírito Santo"
"224",33,"2020-02-26","11:30",2,8,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"225",35,"2020-02-26","11:30",11,28,0,0,"0",1,"0","0",0,"São Paulo"
"226",41,"2020-02-26","11:30",0,3,0,0,"0",0,"0","0",0,"Paraná"
"227",42,"2020-02-26","11:30",2,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"228",43,"2020-02-26","11:30",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"229",53,"2020-02-26","11:30",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"230",23,"2020-02-27","17:00",5,1,0,0,"0",0,"0","0",0,"Ceará"
"231",24,"2020-02-27","17:00",4,0,0,0,"0",0,"0","0",0,"Rio Grande do Norte"
"232",25,"2020-02-27","17:00",1,0,0,0,"0",0,"0","0",0,"Paraíba"
"233",26,"2020-02-27","17:00",3,0,0,0,"0",0,"0","0",0,"Pernambuco"
"234",27,"2020-02-27","17:00",1,0,0,0,"0",0,"0","0",0,"Alagoas"
"235",29,"2020-02-27","17:00",1,2,0,0,"0",0,"0","0",0,"Bahia"
"236",31,"2020-02-27","17:00",5,3,0,0,"0",0,"0","0",0,"Minas Gerais"
"237",32,"2020-02-27","17:00",1,0,0,0,"0",0,"0","0",0,"Espírito Santo"
"238",33,"2020-02-27","17:00",9,8,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"239",35,"2020-02-27","17:00",55,28,0,0,"0",1,"0","0",0,"São Paulo"
"240",41,"2020-02-27","17:00",5,3,0,0,"0",0,"0","0",0,"Paraná"
"241",42,"2020-02-27","17:00",8,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"242",43,"2020-02-27","17:00",24,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"243",50,"2020-02-27","17:00",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul"
"244",52,"2020-02-27","17:00",3,0,0,0,"0",0,"0","0",0,"Goiás"
"245",53,"2020-02-27","17:00",5,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"246",23,"2020-02-28","16:10",6,2,0,0,"0",0,"0","0",0,"Ceará"
"247",24,"2020-02-28","16:10",3,2,0,0,"0",0,"0","0",0,"Rio Grande do Norte"
"248",25,"2020-02-28","16:10",1,1,0,0,"0",0,"0","0",0,"Paraíba"
"249",26,"2020-02-28","16:10",5,2,0,0,"0",0,"0","0",0,"Pernambuco"
"250",27,"2020-02-28","16:10",1,0,0,0,"0",0,"0","0",0,"Alagoas"
"251",29,"2020-02-28","16:10",9,4,0,0,"0",0,"0","0",0,"Bahia"
"252",31,"2020-02-28","16:10",17,3,0,0,"0",0,"0","0",0,"Minas Gerais"
"253",32,"2020-02-28","16:10",2,1,0,0,"0",0,"0","0",0,"Espírito Santo"
"254",33,"2020-02-28","16:10",19,8,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"255",35,"2020-02-28","16:10",66,30,0,0,"0",1,"0","0",0,"São Paulo"
"256",41,"2020-02-28","16:10",5,3,0,0,"0",0,"0","0",0,"Paraná"
"257",42,"2020-02-28","16:10",9,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"258",43,"2020-02-28","16:10",27,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"259",50,"2020-02-28","16:10",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul"
"260",52,"2020-02-28","16:10",5,0,0,0,"0",0,"0","0",0,"Goiás"
"261",53,"2020-02-28","16:10",5,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"262",23,"2020-02-29","19:05",6,2,0,0,"0",0,"0","0",0,"Ceará"
