"geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm","uf"
42,2020-02-25,"13:50",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-25,"13:50",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-25,"13:50",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-26,"11:30",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
25,2020-02-26,"11:30",1,0,0,0,"0",0,"0","0",0,"Paraíba","PB"
26,2020-02-26,"11:30",1,0,0,0,"0",0,"0","0",0,"Pernambuco","PE"
29,2020-02-26,"11:30",0,2,0,0,"0",0,"0","0",0,"Bahia","BA"
31,2020-02-26,"11:30",2,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
32,2020-02-26,"11:30",1,0,0,0,"0",0,"0","0",0,"Espírito Santo","ES"
33,2020-02-26,"11:30",2,8,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-26,"11:30",11,28,0,0,"0",1,"0","0",0,"São Paulo","SP"
41,2020-02-26,"11:30",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-26,"11:30",2,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-26,"11:30",0,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-26,"11:30",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-27,"17:00",5,1,0,0,"0",0,"0","0",0,"Ceará","CE"
24,2020-02-27,"17:00",4,0,0,0,"0",0,"0","0",0,"Rio Grande do Norte","RN"
25,2020-02-27,"17:00",1,0,0,0,"0",0,"0","0",0,"Paraíba","PB"
26,2020-02-27,"17:00",3,0,0,0,"0",0,"0","0",0,"Pernambuco","PE"
27,2020-02-27,"17:00",1,0,0,0,"0",0,"0","0",0,"Alagoas","AL"
29,2020-02-27,"17:00",1,2,0,0,"0",0,"0","0",0,"Bahia","BA"
31,2020-02-27,"17:00",5,3,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
32,2020-02-27,"17:00",1,0,0,0,"0",0,"0","0",0,"Espírito Santo","ES"
33,2020-02-27,"17:00",9,8,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-27,"17:00",55,28,0,0,"0",1,"0","0",0,"São Paulo","SP"
41,2020-02-27,"17:00",5,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-27,"17:00",8,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-27,"17:00",24,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
50,2020-02-27,"17:00",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul","MS"
52,2020-02-27,"17:00",3,0,0,0,"0",0,"0","0",0,"Goiás","GO"
53,2020-02-27,"17:00",5,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-28,"16:10",6,2,0,0,"0",0,"0","0",0,"Ceará","CE"
24,2020-02-28,"16:10",3,2,0,0,"0",0,"0","0",0,"Rio Grande do Norte","RN"
25,2020-02-28,"16:10",1,1,0,0,"0",0,"0","0",0,"Paraíba","PB"
26,2020-02-28,"16:10",5,2,0,0,"0",0,"0","0",0,"Pernambuco","PE"
27,2020-02-28,"16:10",1,0,0,0,"0",0,"0","0",0,"Alagoas","AL"
29,2020-02-28,"16:10",9,4,0,0,"0",0,"0","0",0,"Bahia","BA"
31,2020-02-28,"16:10",17,3,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
32,2020-02-28,"16:10",2,1,0,0,"0",0,"0","0",0,"Espírito Santo","ES"
33,2020-02-28,"16:10",19,8,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-28,"16:10",66,30,0,0,"0",1,"0","0",0,"São Paulo","SP"
41,2020-02-28,"16:10",5,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-28,"16:10",9,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-28,"16:10",27,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
50,2020-02-28,"16:10",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul","MS"
52,2020-02-28,"16:10",5,0,0,0,"0",0,"0","0",0,"Goiás","GO"
53,2020-02-28,"16:10",5,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-29,"19:05",6,2,0,0,"0",0,"0","0",0,"Ceará","CE"
24,2020-02-29,"19:05",3,2,0,0,"0",0,"0","0",0,"Rio Grande do Norte","RN"
